log10(E/GeV),H3A,H4A,GST,GST-3gen
6.575,0.420,0.412,0.457,0.451
6.725,0.409,0.400,0.479,0.471
6.875,0.385,0.375,0.487,0.477
7.025,0.345,0.333,0.461,0.448
7.175,0.288,0.275,0.378,0.363
7.325,0.229,0.213,0.243,0.230
7.475,0.185,0.166,0.107,0.100
7.625,0.162,0.140,0.028,0.026
7.775,0.152,0.124,0.004,0.004
7.925,0.139,0.105,0.000,0.000
