log10(E/GeV),proton,helium,oxygen,iron
6.575,0.178,0.457,0.059,0.306
6.725,0.161,0.479,0.069,0.291
6.875,0.142,0.487,0.084,0.287
7.025,0.126,0.461,0.103,0.310
7.175,0.121,0.378,0.122,0.379
7.325,0.134,0.243,0.131,0.493
7.475,0.161,0.107,0.119,0.612
7.625,0.189,0.028,0.088,0.694
7.775,0.216,0.004,0.051,0.729
7.925,0.251,0.000,0.022,0.727
