,mass,energy,zenith,S125,energy_loss,he_stoch,he_stoch2,Xmax,Xo,A,m_125,m_r,m_s,m_s2,m_o,m_chi2,fit_status_m,s_r,s_o,s_mean,s_std,s_chi2,fit_status_s,charge,N,ghRedChiSqr,firstint,max_check,new_xmax,new_xo,new_lambda,fit_status,new_chi2,difference,MaxNum,waveform_weight,muon_total
0,4,6084786.0,0.5518999013372472,0.6156158477455795,34.31686587889134,0,0,522.9087524414062,25.177257537841797,0.00047486934479228397,4.090883050649444,0.0024712501797268262,1.0000000001,1.0000000001,3.7819767781835902,0.07922278098096194,1.0,0.0009768907955363844,0.8332043777420743,0.763267727666027,0.06193418553703736,0.0038976787848520504,1.0,247.24301716685295,24,537.4744873046875,34.897422790527344,-2.90875244140625,422.32638188246636,29.225670971971898,72.56902152234197,1,inf,-97.67361811753364,2432909.25,42.21946013131941,103251
1,4,4164875.75,0.48282967319504877,0.5438012557152403,31.147878813697492,0,0,501.46533203125,-92.99840545654297,0.0006385507060999304,4.613747458720023,0.006748303113366547,1.0000000001,1.0000000001,3.7702095695492046,0.05770651357925286,1.0,2.536284550496031e-07,0.9195256695150029,0.7680803028263693,0.10570534098918112,0.003394793139555979,1.0,67.66584673523903,22,7.756488800048828,6.4883270263671875,-1.46533203125,500.0,1.0,2.0,0,,0.0,1601053.875,0.0,80321
2,4,2689304.5,0.4813839000491935,0.33377237890876943,28.085084376189144,2,0,464.0454406738281,-63.17710876464844,0.0005141352316042762,3.8935589158459516,0.002116579606025164,1.0000000001,1.0000000001,3.6289864650928063,0.01516541587400096,1.0,7.688226804177548e-05,0.7217114864864121,0.7005709610526574,0.047373819061536156,0.020485905560829742,1.0,76.35896204411983,20,27.80747413635254,8.843201637268066,-4.045440673828125,419.56551085684043,-139.76016023284978,39.08384118189679,1,inf,-40.43448914315957,1088267.875,0.0,49938
3,4,2689304.5,0.4817566690493291,0.2667757919420657,19.893149928293706,1,0,464.0454406738281,-63.17710876464844,0.00056447819692161,3.638783348062308,1.3793476470384404e-05,1.0000000001,1.0000000001,3.63705916350351,0.0232430374947218,1.0,8.374759757017112e-05,0.7485541991414503,0.6952683689968638,0.08572477293026975,0.004758095976631875,1.0,2131.5518206506968,18,27.80747413635254,8.843201637268066,-4.045440673828125,419.56551085684043,-139.76016023284978,39.08384118189679,1,inf,-40.43448914315957,1088267.875,0.0,49938
4,4,2689304.5,0.47458879500800855,0.31226313971680186,20.517947225900574,2,2,464.0454406738281,-63.17710876464844,0.0012062153715034281,3.853349914302659,0.0019624664798800475,1.0000000001,1.0000000001,3.6080416043176533,0.021280748924720583,1.0,0.0024032814590935364,0.7941036053767332,0.7296559724533425,0.0634244146578405,0.022711734125576193,1.0,67.22059041261673,20,27.80747413635254,8.843201637268066,-4.045440673828125,419.56551085684043,-139.76016023284978,39.08384118189679,1,inf,-40.43448914315957,1088267.875,0.0,49938
5,4,2689304.5,0.4798541307645614,0.20499681167647932,33.04358763040727,1,0,464.0454406738281,-63.17710876464844,0.0004838412541310061,3.740132779449682,1.0000000000000002e-10,1.0000000001,1.0000000001,3.740132766949682,0.02567678092912485,1.0,0.0018074409030404816,0.8016631592797356,0.6918534158143117,0.09948335454712505,9.314376844580516e-11,1.0,82.02583742141724,14,27.80747413635254,8.843201637268066,-4.045440673828125,419.56551085684043,-139.76016023284978,39.08384118189679,1,inf,-40.43448914315957,1088267.875,0.0,49938
6,4,2689304.5,0.48205824822970067,0.2808837265427524,19.900890375718284,3,0,464.0454406738281,-63.17710876464844,0.000393443746320202,3.5930803680534336,1.0000000016703722e-10,1.0000000001,1.0000000001,3.5930803555534334,0.034168179513461766,1.0,3.820267015402055e-07,0.8464677038750941,0.762105388864533,0.0554567690111063,0.014345831740174373,1.0,177.60333456099033,18,27.80747413635254,8.843201637268066,-4.045440673828125,419.56551085684043,-139.76016023284978,39.08384118189679,1,inf,-40.43448914315957,1088267.875,0.0,49938
7,4,2689304.5,0.4887890050240169,0.27211170740546775,43.54403610500434,3,2,464.0454406738281,-63.17710876464844,0.0012708383481455472,3.621353689263631,1.007826970195247e-10,1.0000000001,1.0000000001,3.621353676665794,0.030115359547158476,1.0,0.0003267052406426716,0.8154151912057617,0.7703567155555952,0.059397076335299476,0.02055770537302666,1.0,97.9862227588892,24,27.80747413635254,8.843201637268066,-4.045440673828125,419.56551085684043,-139.76016023284978,39.08384118189679,1,inf,-40.43448914315957,1088267.875,0.0,49938
8,4,4633169.5,0.49818917046981026,0.5179410056275904,12.497166595942014,1,0,498.31640625,-50.999637603759766,0.0014105623378515707,3.90915313010903,0.0018257666703450188,1.0000000001,1.0000000001,3.680932296315903,0.07767163470373903,1.0,0.00047688467052465675,0.7417320287637008,0.7098971380921194,0.11974328492466113,0.004624658846254812,1.0,102.66383010149002,26,3.2251899242401123,10.647529602050781,1.68359375,500.0,1.0,2.0,0,,0.0,1714896.5,0.0,88635
9,4,4633169.5,0.4743437868862488,0.5948152836701466,16.98452515637814,1,0,498.31640625,-50.999637603759766,0.0005638409529764072,3.6303277519424157,1.0021438669061905e-10,1.0000000001,1.0000000001,3.6303277394156175,0.03862113917243516,1.0,4.6011369520582167e-07,0.801196371614356,0.7288089866279307,0.08266164989278385,0.02540767875171927,1.0,129.72928382456303,28,3.2251899242401123,10.647529602050781,1.68359375,500.0,1.0,2.0,0,,0.0,1714896.5,0.0,88635
