,mass,energy,zenith,S125,energy_loss,he_stoch,he_stoch2,Xmax,Xo,A,m_125,m_r,m_s,m_s2,m_o,m_chi2,fit_status_m,s_r,s_o,s_mean,s_std,s_chi2,fit_status_s,charge,N,ghRedChiSqr,firstint,max_check,new_xmax,new_xo,new_lambda,fit_status,new_chi2,difference,MaxNum,waveform_weight,muon_total
0,4,7306904.5,0.38920082259949984,0.9449597772041551,31.3671761938529,1,0,586.75341796875,38.29233169555664,0.0006984778689262182,3.9604476991532245,0.0008692355359236042,1.0000000001,1.0000000001,3.851793257162774,0.12684289152856004,1.0,0.0009114432852533053,0.7149263298865384,0.6860932397730563,0.07255838157305605,0.03236376994411877,1.0,510.2716058790684,49,25.606355667114258,69.7711410522461,-6.75341796875,493.4740638235631,-21.415770566652505,32.671603838821575,1,inf,-86.52593617643691,3552316.75,0.0,97014
1,4,7306904.5,0.388554040627465,0.9615110001706406,21.480490384766608,0,0,586.75341796875,38.29233169555664,0.0006101632362384413,3.979807880872288,0.0004187317403319602,1.0000000001,1.0000000001,3.927466413330793,0.13949615270394192,1.0,0.0009280247643658303,0.9041908036566361,0.7035495144685338,0.11418573659022173,8.268898567465074e-05,1.0,570.7576420009136,52,25.606355667114258,69.7711410522461,-6.75341796875,493.4740638235631,-21.415770566652505,32.671603838821575,1,inf,-86.52593617643691,3552316.75,0.0,97014
2,4,7306904.5,0.3979003610019842,0.975580352674783,30.66888079371382,4,1,586.75341796875,38.29233169555664,0.0008200301986302689,3.792216692321965,1.0000013926341918e-10,1.0000000001,1.0000000001,3.7922166798219474,0.08267570451419572,1.0,6.998698691587837e-05,0.7417855032888157,0.7093180855297061,0.07895283399555482,0.01944296781059936,1.0,3177.641970202327,40,25.606355667114258,69.7711410522461,-6.75341796875,493.4740638235631,-21.415770566652505,32.671603838821575,1,inf,-86.52593617643691,3552316.75,0.0,97014
3,4,899227.75,0.4595507750892813,-0.12528950296849128,2.9376840721334756,0,0,485.5472717285156,15.908421516418457,0.0005338933326866417,3.9845574914705346,0.003460940787878551,1.0000000001,1.0000000001,3.5519398929857156,0.0014853566676633122,1.0,0.00010620853921738678,0.7634511201170818,0.706585869631029,0.09512768138955925,0.000428197106161349,1.0,71.58106744289398,12,12.364264488220215,38.801025390625,-5.547271728515625,460.5746793732503,-45.633949951496675,47.97811887274737,1,inf,-19.42532062674968,401002.3125,0.0,13967
4,4,53720944.0,0.3333387334024529,1.810200040513461,151.5488159815684,5,2,610.810302734375,-11.44882583618164,0.0005233149213711485,4.222393048031583,1.0000000000040824e-10,1.0000000001,1.0000000001,4.222393035531583,0.3746465770225342,1.0,3.315495771239191e-08,0.777879569544765,0.711281256328427,0.1260113947054148,0.03216837639157261,1.0,3090.7346791923046,92,241.699462890625,26.612625122070312,9.189697265625,620.0,1.0,2.0,0,,0.0,25254368.0,1.2015213759784347,492040
5,4,53720944.0,0.3359255364301488,1.7774403476186018,141.86155699178522,6,0,610.810302734375,-11.44882583618164,0.0005622941726053658,4.446415729406462,0.001229021609750382,1.0000000001,1.0000000001,4.2927880281876645,0.5934784124493329,1.0,6.314110053861882e-08,0.7924106519550183,0.690646628409545,0.14462510409279158,0.023378338944708546,1.0,3063.609000623226,106,241.699462890625,26.612625122070312,9.189697265625,620.0,1.0,2.0,0,,0.0,25254368.0,1.0,492040
6,4,53720944.0,0.3351099518888865,1.8044302944568997,120.0688609408888,1,0,610.810302734375,-11.44882583618164,0.0005346151355422237,4.306693798990492,0.0007345598006855368,1.0000000001,1.0000000001,4.214873823904799,0.4864528613178287,1.0,0.0001481659039382443,0.7638999217006145,0.7014611289203191,0.09788146918515582,0.03357447611334322,1.0,3322.0290780961514,116,241.699462890625,26.612625122070312,9.189697265625,620.0,1.0,2.0,0,,0.0,25254368.0,1.0,492040
7,4,53720944.0,0.33682298229562013,1.8538091585763983,162.928480825973,3,0,610.810302734375,-11.44882583618164,0.0007427045893117091,4.292152469999323,0.0004761631746277854,1.0000000001,1.0000000001,4.2326320731708496,0.4278330680322175,1.0,0.0002792565886095654,0.7426527830070135,0.6931678773307893,0.11875152202231076,0.03670864733287399,1.0,6372.164619088173,94,241.699462890625,26.612625122070312,9.189697265625,620.0,1.0,2.0,0,,0.0,25254368.0,0.0,492040
8,4,53720944.0,0.3319335630998079,1.7885498116841507,129.55045806701017,4,1,610.810302734375,-11.44882583618164,0.000606874026840454,4.359082672166851,0.0008992701389542105,1.0000000001,1.0000000001,4.246673904797575,0.3175367043631189,1.0,0.0007093379222032304,0.7908990379264745,0.7151300083296769,0.12945899085110654,0.018859194611116757,1.0,2432.742826960981,76,241.699462890625,26.612625122070312,9.189697265625,620.0,1.0,2.0,0,,0.0,25254368.0,0.0,492040
9,4,721269.125,0.3251944003917755,-0.18145879933246656,0.5726323658024889,2,1,562.3635864257812,-43.22627258300781,0.0006684570725254328,76.18222937790587,0.5538687200093575,1.0000000001,1.0000000001,6.9486393767361845,0.0,1.0,0.746094735190425,5.162209426322198,0.7650622904481607,0.0,1.8456119556305134e-20,1.0,23.18363454937935,14,7.277572154998779,39.28840255737305,-2.36358642578125,508.50655800125116,-2846.3647243075643,3.939377564701422,1,inf,-51.493441998748835,390232.09375,0.0,8252
