,mass,energy,zenith,S125,energy_loss,he_stoch,he_stoch2,Xmax,Xo,A,m_125,m_r,m_s,m_s2,m_o,m_chi2,fit_status_m,s_r,s_o,s_mean,s_std,s_chi2,fit_status_s,charge,N,ghRedChiSqr,firstint,max_check,new_xmax,new_xo,new_lambda,fit_status,new_chi2,difference,MaxNum,waveform_weight,muon_total
0,4,41443404.0,0.45511570843684135,1.7062324786440701,278.8199097227988,1,1,568.0841674804688,-43.18366622924805,0.00058742397304353,4.062623210114711,0.0002179456949850767,1.0000000001,1.0000000001,4.035379998241576,0.26924460742616535,1.0,0.0007271200645245831,0.8218627940143972,0.7249604118901878,0.13419687409885767,0.008628626557400817,1.0,3275.67614595592,77,23.483898162841797,2.535428762435913,-8.08416748046875,560.0,1.0,2.0,0,,0.0,16708842.0,0.0,610172
1,4,14537451.0,0.3536579159505959,1.1479443091884827,118.40614299875216,4,0,493.7715148925781,-46.29714584350586,0.0006618990650642025,3.793430694328512,1.0000000000026115e-10,1.0000000001,1.0000000001,3.7934306818285117,0.18260381091291472,1.0,0.0010919108009117108,0.7361297673535232,0.6976001704067071,0.10007905704157138,0.018698042571089528,1.0,372.0908419787884,82,4.232994079589844,5.660093784332275,6.228485107421875,500.0,1.0,2.0,0,,0.0,5896123.5,0.0,232938
2,4,14537451.0,0.35629380841441893,1.1447140705818635,126.61533214979697,3,0,493.7715148925781,-46.29714584350586,0.0008156241333659018,3.8338456305164335,4.816702893416624e-06,1.0000000001,1.0000000001,3.833243542654756,0.15490535796973198,1.0,2.2793819623515627e-05,0.87603805411746,0.7255450642428801,0.10176153506310774,0.03937772884222984,1.0,476.1212019622326,56,4.232994079589844,5.660093784332275,6.228485107421875,500.0,1.0,2.0,0,,0.0,5896123.5,0.0,232938
3,4,14537451.0,0.3569070623553947,1.1493545134159637,128.00631975503566,2,0,493.7715148925781,-46.29714584350586,0.0006315777209948237,3.927658327428524,1.0000015922420222e-10,1.0000000001,1.0000000001,3.9276583149285043,0.2690281529394674,1.0,0.0001991617310726297,0.7796443500753779,0.7223614261039976,0.09625362981364671,0.0270022936409599,1.0,902.9087780117989,74,4.232994079589844,5.660093784332275,6.228485107421875,500.0,1.0,2.0,0,,0.0,5896123.5,0.0,232938
4,4,8313548.0,0.24473457262895915,0.9950844770127318,58.11759767780338,5,1,518.4844360351562,-75.25131225585938,0.0009534691513467346,4.110670186660452,0.0025176194147895035,1.0000000001,1.0000000001,3.7959677598117647,0.16076470200337017,1.0,9.231723559508153e-07,0.7740691681706784,0.7193802688337616,0.08274555601546259,0.03940299899916927,1.0,2967.58632825315,59,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
5,4,8313548.0,0.23698491368576224,0.9421757886993518,67.7158684428302,2,1,518.4844360351562,-75.25131225585938,0.0005649758998359608,3.857884525102248,0.0003841218730251852,1.0000000001,1.0000000001,3.8098692909741,0.23602371250901502,1.0,0.0029351870975925414,0.7152812721829162,0.641984533863002,0.10617705036558046,0.02134050164301516,1.0,961.6564708948135,58,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
6,4,8313548.0,0.24295425086250688,0.8653503127218882,56.7244189299908,5,0,518.4844360351562,-75.25131225585938,0.0006622807749352102,3.9088353025793063,1.1262407515614557e-10,1.0000000001,1.0000000001,3.908835288501297,0.21317336510305804,1.0,0.0022736922077675435,0.8215918586400733,0.6840541865208828,0.11916331291425683,0.013412286568097419,1.0,717.0334217846394,48,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
7,4,8313548.0,0.23494525508004438,1.0207244878776285,54.7481331778995,5,1,518.4844360351562,-75.25131225585938,0.0006396683917989091,3.8554392972411327,1.0000000000086543e-10,1.0000000001,1.0000000001,3.8554392847411325,0.12599040634638817,1.0,0.0006809491890801578,0.7203849869878193,0.6884935678655937,0.06250380815314188,0.005877785984620499,1.0,257.86333929002285,46,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
8,4,8313548.0,0.23844386351120006,0.9288342126388724,58.65468570363211,1,0,518.4844360351562,-75.25131225585938,0.0007207244563924989,3.854020708320021,1.0202469751207803e-10,1.0000000001,1.0000000001,3.854020695566934,0.17823215215409735,1.0,0.004964146494423219,0.8865261140122107,0.7406586898814655,0.10201966791529199,0.02661260497877438,1.0,735.8516304790974,50,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
9,4,8313548.0,0.22524645281421396,0.9430657665275781,51.68571238066834,8,2,518.4844360351562,-75.25131225585938,0.0004972067445845467,3.8185119668747323,1.0000075210985377e-10,1.0000000001,1.0000000001,3.8185119543746384,0.12062636088059939,1.0,0.00178275816600024,0.7598020764753487,0.7086746585635637,0.0918004730716289,0.020258946926556026,1.0,379.91421753168106,26,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
10,4,8313548.0,0.2384949900285367,0.9877011335816852,65.85977249037768,7,0,518.4844360351562,-75.25131225585938,0.0006186766933305465,3.950896543886054,1.017569458214267e-10,1.0000000001,1.0000000001,3.950896531166436,0.15949068984987358,1.0,0.0015393060578345324,0.7940635445744164,0.7186234952852407,0.10454921762298139,0.0232227787427264,1.0,427.1640479564667,56,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
11,4,8313548.0,0.23996058710154067,0.999750659368674,55.830492715905926,2,0,518.4844360351562,-75.25131225585938,0.0006880081522697668,3.8276754971988165,1.0279184319924206e-10,1.0000000001,1.0000000001,3.827675484349836,0.21092647321998514,1.0,0.0009027608709173006,0.7767220977463224,0.7285697963239773,0.09682242373899524,0.038747953527612004,1.0,3942.8936548531055,54,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
12,4,8313548.0,0.22962775436649396,0.9817671502672862,48.05918954521706,2,0,518.4844360351562,-75.25131225585938,0.000729053135518899,3.8390541371490627,1.021366868935174e-10,1.0000000001,1.0000000001,3.8390541243819767,0.22756787344406185,1.0,0.000162108180371953,0.7579981968614047,0.7117570549585897,0.056863826531473906,0.025910239979758047,1.0,668.0604537725449,62,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,4.065954333152588,150799
13,4,8313548.0,0.237503588518988,1.0049662239155364,73.63627782943342,2,0,518.4844360351562,-75.25131225585938,0.000663349098902404,4.113866399334488,0.002792937807779233,1.0000000001,1.0000000001,3.7647491733620835,0.06123453069004514,1.0,0.00672909861805825,0.7599662949123468,0.7232744421139209,0.11664907800067711,0.020079699027944452,1.0,152.441696241498,38,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
14,4,8313548.0,0.24096742483136913,0.9460342760013405,45.08453851491694,4,2,518.4844360351562,-75.25131225585938,0.0006504344292531807,4.017100278269526,0.0015629211494543442,1.0000000001,1.0000000001,3.8217351345877324,0.16066316201052971,1.0,0.00010537986891810741,0.8084413157159501,0.7188713580433875,0.1001739789312421,0.021678512867221132,1.0,462.15179793536663,52,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
15,4,8313548.0,0.2425557478836451,1.011538279538419,51.446111623778066,1,0,518.4844360351562,-75.25131225585938,0.0007058150320137737,4.0055430642891965,0.0016265501922208716,1.0000000001,1.0000000001,3.802224290261588,0.1349685711217993,1.0,0.0028571628876267793,0.7388991362845472,0.6934641353756191,0.10559633011590866,0.02497891867729235,1.0,590.3570053726435,58,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
16,4,8313548.0,0.23538559320789032,1.005442810778928,56.0105346851615,4,1,518.4844360351562,-75.25131225585938,0.0005203690590622229,4.088093327975356,0.002528773181929977,1.0000000001,1.0000000001,3.771996680234109,0.17879956938920366,1.0,0.001624116324645085,0.8222862839965167,0.7167739624833147,0.06838701361441735,0.03909022643852422,1.0,950.9480187147856,62,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
17,4,8313548.0,0.2345602605597108,0.9547831249469012,49.593444205716615,4,0,518.4844360351562,-75.25131225585938,0.000600708142936441,3.9027506545791786,0.0017527257462882097,1.0000000001,1.0000000001,3.6836599362931524,0.04705752468077641,1.0,0.003519451231328594,0.759992948578618,0.7195806545676753,0.07873389901356034,0.03260924141246707,1.0,255.6778826713562,28,15.576987266540527,11.71407413482666,1.51556396484375,520.0,1.0,2.0,0,,0.0,3455851.5,0.0,150799
