log10(E/GeV),H3A,H4A,GST,GST-3gen
6.575,0.183,0.178,0.059,0.058
6.725,0.198,0.193,0.069,0.068
6.875,0.217,0.210,0.084,0.082
7.025,0.237,0.229,0.103,0.100
7.175,0.254,0.244,0.122,0.117
7.325,0.262,0.250,0.131,0.123
7.475,0.257,0.243,0.119,0.111
7.625,0.242,0.226,0.088,0.081
7.775,0.228,0.209,0.051,0.047
7.925,0.222,0.200,0.022,0.020
