log10(E/GeV),proton,helium,oxygen,iron
6.575,0.219,0.412,0.178,0.191
6.725,0.192,0.400,0.193,0.215
6.875,0.167,0.375,0.210,0.248
7.025,0.147,0.333,0.229,0.291
7.175,0.139,0.275,0.244,0.342
7.325,0.140,0.213,0.250,0.397
7.475,0.143,0.166,0.243,0.448
7.625,0.142,0.140,0.226,0.492
7.775,0.138,0.124,0.209,0.529
7.925,0.136,0.105,0.200,0.559
