log10(E/GeV),H3A,H4A,GST,GST-3gen
6.575,0.196,0.191,0.306,0.313
6.725,0.221,0.215,0.291,0.300
6.875,0.255,0.248,0.287,0.299
7.025,0.300,0.291,0.310,0.326
7.175,0.353,0.342,0.379,0.399
7.325,0.410,0.397,0.493,0.513
7.475,0.463,0.448,0.612,0.630
7.625,0.509,0.492,0.694,0.708
7.775,0.547,0.529,0.729,0.741
7.925,0.578,0.559,0.727,0.739
