log10(E/GeV),proton,helium,oxygen,iron
6.575,0.177,0.451,0.058,0.313
6.725,0.161,0.471,0.068,0.300
6.875,0.142,0.477,0.082,0.299
7.025,0.126,0.448,0.100,0.326
7.175,0.121,0.363,0.117,0.399
7.325,0.134,0.230,0.123,0.513
7.475,0.158,0.100,0.111,0.630
7.625,0.184,0.026,0.081,0.708
7.775,0.209,0.004,0.047,0.741
7.925,0.240,0.000,0.020,0.739
