log10(E/GeV),H3A,H4A,GST,GST-3gen
6.575,3.656,3.577,5.165,5.394
6.725,7.595,8.133,8.788,8.825
6.875,3.318,3.509,3.949,4.115
7.025,4.243,3.879,4.051,4.338
7.175,2.599,3.223,4.702,4.411
7.325,5.322,6.831,7.618,7.720
7.475,2.145,2.491,3.716,3.915
7.625,1.405,2.212,3.151,3.140
7.775,1.211,1.395,1.556,1.588
7.925,1.091,1.390,1.862,1.811
