,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith
0,5,2,2.4255194734865673,1.2453724041725938,0.19238511392462465
1,5,0,2.2656973296653504,1.24700920455623,0.19074836065187606
2,5,2,2.3433537692385085,1.2443165948905026,0.18706116808091
3,9,0,2.259615845693772,1.2249752864730192,0.19507958632453715
4,7,1,2.6829715800168312,1.2040565772808716,0.41704437751117185
5,6,2,2.876318985140591,1.2056240939825305,0.4113831306527391
6,7,0,2.7763876033526556,1.4695593747759137,0.12391430886987287
7,4,1,2.843439576543092,1.4354104164207913,0.1211249668318457
8,6,2,2.645142841090508,1.420347496870309,0.12362414459829996
9,6,3,2.823953108541598,1.4594970131062013,0.11990790137593077
10,7,2,2.7545864775844064,1.4477135933551768,0.12175596436968883
11,5,1,2.93074037328284,1.4693922671040252,0.12478747464712958
12,7,1,2.7033952819034752,1.499085373202413,0.12322048227104343
13,6,3,2.8194711909606385,1.4716237539103876,0.12186703451661085
14,8,0,2.6737713306204975,1.4556370837106822,0.12002233719826938
15,3,0,2.7221786823638463,1.6504903174539773,0.20926099353543393
16,7,1,2.9324016976636695,1.6916072508354612,0.20363039580563624
17,1,1,2.5354128235764635,1.7983375675551452,0.47173762884119785
18,5,3,1.2648548883483857,0.0017207744686316196,0.22469989911074428
19,3,2,0.9242059498143204,-0.1062435443373122,0.2621183329494823
20,3,1,1.3442434442702025,-0.1992381625859445,0.2538379817888594
21,5,2,1.2498403978070036,-0.24729542679578567,0.26149460446793205
22,5,3,1.065646347399825,-0.055579153874819834,0.262565200844016
23,2,1,1.4925958549180076,-0.1305294867900764,0.2701462514668087
24,4,2,0.7364739281921431,0.007175055770933759,0.25566452829262554
25,2,0,0.7666521231691625,-0.030454472289625827,0.2634789522985752
26,4,3,1.3269968041056337,-0.08649533381951889,0.2686887375128375
27,3,1,1.730059357241451,-0.15012998254966933,0.27388856791715144
28,3,1,1.2659358991167502,-0.08783900134320974,0.26484057597608324
29,4,2,1.0562433543247238,-0.14957184582292535,0.26982283583156175
30,5,2,1.10326932853956,-0.10277496347153339,0.25594076476843064
31,1,1,1.2229357384652086,-0.10255683687932482,0.2622907116068882
32,3,1,1.4082014189460588,-0.12854860068987864,0.26483011755651154
33,2,1,1.831784401905988,-0.15794044432548301,0.42923397234387917
34,2,1,2.2556059748527164,-0.35153003003857464,0.43064303001237514
35,6,0,2.1942850171925503,0.698344320013867,0.07534154506095092
36,6,3,1.9997496627522935,0.6605804836346278,0.08446534917163318
37,5,1,1.8465536453418128,0.5200169613571863,0.07269637770763504
38,9,3,2.187804900973854,0.6581007377462953,0.07705613776583631
39,2,2,2.125134838804417,0.7206437531695267,0.08108520659026253
