,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith,energy,mass
0,5,3,2.657976331879913,1.6097571923463994,0.3333703409224644,7.615625671352234,4.0
1,8,3,2.6020902419882144,1.6113724525923256,0.33389822834631566,7.615625671352234,4.0
2,9,1,2.5702188645435657,1.6870331536823766,0.3299416888968625,7.615625671352234,4.0
3,6,1,2.778890577518065,2.0607147796369967,0.4353293757588155,7.993393477943659,4.0
4,2,0,2.678708132656333,2.077499542741239,0.4459703062803353,7.993393477943659,4.0
5,3,1,1.0152899180589503,-0.3242326676067653,0.41860790539345283,5.878557410784036,4.0
6,3,0,1.042360283360528,-0.1800537830227902,0.419903482439004,5.878557410784036,4.0
7,3,1,1.136874669298251,-0.11150125457302937,0.42660412936076364,5.878557410784036,4.0
8,1,1,1.2110326305394388,-0.24505291929991913,0.42139296506600665,5.878557410784036,4.0
9,5,3,1.2121583468772057,-0.032779816608057295,0.14436686250880593,6.0673597778726975,4.0
10,5,1,1.177763283962263,0.005247326001589982,0.13124002854768824,6.0673597778726975,4.0
11,4,1,1.2900601658279673,-0.09694788376283855,0.136000485361222,6.0673597778726975,4.0
12,2,1,1.1572937697466932,-0.008467331555001654,0.13422754814384996,6.0673597778726975,4.0
13,4,2,1.0982880798883665,0.050121454137229,0.12724231777779016,6.0673597778726975,4.0
14,5,1,1.1616569984392386,0.0006339795830587326,0.13691695559355077,6.0673597778726975,4.0
15,2,2,1.0092745222959714,0.13518771082381997,0.13867586086140316,6.0673597778726975,4.0
16,3,1,1.313927644559364,0.06340406656571272,0.3168572477498053,6.121838984803067,4.0
17,0,0,0.9878015216352692,-0.07436201234005722,0.3160713767419283,6.121838984803067,4.0
18,5,3,1.3899239884435055,0.05234231557920047,0.31253522603698425,6.121838984803067,4.0
19,3,1,1.148843248332963,0.03952715615536383,0.31156632462005174,6.121838984803067,4.0
20,2,1,1.2107578051496237,-0.010798974518428043,0.30639995445778423,6.121838984803067,4.0
21,0,0,1.3992168250406087,0.07854899200011059,0.318206672066375,6.121838984803067,4.0
22,4,1,1.3163360222628802,0.034864035880318084,0.3235013721074411,6.121838984803067,4.0
23,2,2,1.8727269642554563,0.45689819402375687,0.20488681559372068,6.420305643901321,4.0
24,3,1,1.6345498654520703,0.39421003682784983,0.21468214694850385,6.420305643901321,4.0
25,3,2,1.4165525464422632,0.5212416229418886,0.2211337411966916,6.420305643901321,4.0
26,2,1,1.3626219380997455,0.5028317592049372,0.21705943942481376,6.420305643901321,4.0
27,3,3,1.5483542022914407,0.4746022023911953,0.21026605062870773,6.420305643901321,4.0
28,6,4,1.1730805993670128,0.4163223733345496,0.2284272964276326,6.420305643901321,4.0
29,3,0,1.2323578018514112,0.4479021319158014,0.22013209559535118,6.420305643901321,4.0
30,2,1,1.4764291198612591,0.48206191420101696,0.21459813802486583,6.420305643901321,4.0
31,6,0,1.4432176703202821,0.45254901198110087,0.2116015180572135,6.420305643901321,4.0
32,6,2,1.4228705627094005,0.4809658984149534,0.21642967749645514,6.420305643901321,4.0
33,3,0,1.279362304525592,0.44383475777025794,0.21748013739625804,6.420305643901321,4.0
34,3,3,1.5074715645881283,0.4764898014359864,0.21883399544763504,6.420305643901321,4.0
35,2,0,1.3519393860703377,0.43544754326005375,0.21873076474700381,6.420305643901321,4.0
36,0,0,1.210091450870617,0.4252761550832873,0.43812720975273045,6.515423128694527,4.0
37,4,2,1.7229655389504008,0.7057888480946488,0.193327761163411,6.6588143849966785,4.0
38,4,1,1.7317116199944782,0.7121761162503031,0.1961003032758435,6.6588143849966785,4.0
39,1,1,1.6134575637271098,0.7554484406815387,0.19881455977799467,6.6588143849966785,4.0
40,4,0,1.5573687069636262,0.7322366832892611,0.20055184127036263,6.6588143849966785,4.0
41,2,1,1.7448204712072288,0.7303808654397193,0.19807174145747064,6.6588143849966785,4.0
42,2,1,1.542485743146492,0.7061287340695994,0.19934391946856245,6.6588143849966785,4.0
43,3,1,1.5078106271089686,0.7306335379168507,0.19613885400565945,6.6588143849966785,4.0
44,4,1,1.7467151155935865,0.6822654574570368,0.19148630782393683,6.6588143849966785,4.0
45,2,0,1.6212665795383088,0.6562742236162329,0.19951928187315415,6.6588143849966785,4.0
46,5,0,1.839162211295151,0.7096833251754853,0.19793281890976555,6.6588143849966785,4.0
47,5,2,1.7417918711849785,0.7933310998111867,0.19576398287668484,6.6588143849966785,4.0
48,5,1,1.73862966014699,0.7348762825737825,0.20090752216077723,6.6588143849966785,4.0
49,3,0,1.793759396584132,0.6948473042474594,0.20198518424244005,6.6588143849966785,4.0
50,5,0,1.6627145297043437,0.830375490683898,0.19533778812747737,6.6588143849966785,4.0
51,7,0,2.054877771445854,0.9125529302152797,0.29478015655363254,6.816762770065307,4.0
52,5,1,2.0195330438840227,0.856291704549442,0.2966259440338752,6.816762770065307,4.0
53,1,1,2.091132662023059,0.7839762371620127,0.29528287942740006,6.816762770065307,4.0
54,5,1,2.0241589404125806,0.8800778274546714,0.2909509740586329,6.816762770065307,4.0
