,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith
0,5,1,2.3975630906011625,1.3449972712310405,0.45956991861668417
1,2,1,2.955345235017684,1.6948545286481407,0.3956134235434212
2,4,0,2.9250632646186387,1.9200500908773712,0.392032959234093
3,2,0,2.679613356764514,1.9680159777813113,0.39447922688087367
4,4,2,2.7067846363276944,2.0312875312667744,0.45249461422128157
5,1,0,0.7905456144221329,-0.36722549789443537,0.1690033500638486
6,1,1,1.1109302639730476,-0.5781821972958014,0.17360226635899467
7,1,1,0.8196433968014464,-0.10701480965725005,0.31696433725540274
8,1,1,1.856295203923517,-0.19495785568605764,0.3384902195914199
9,3,2,0.9627999063389343,-0.027089571716690557,0.3067092964628748
10,4,3,1.1332770061595414,-0.15996184101450248,0.32739184907756025
11,3,1,0.8990434410167583,-0.21543775289860753,0.3271749557961776
12,2,2,1.4711021247083433,-0.1731079288220783,0.3229420074121734
13,3,1,0.6187112233911802,-0.060941275471713574,0.3192859459664139
14,4,1,1.0855354555847343,-0.18795536355305484,0.2262418884760753
15,3,1,1.392906249390447,-0.10242277692841073,0.2249888854631683
16,4,1,1.02746319817349,-0.09853566193408977,0.22915634230795412
17,4,1,1.2089808256038572,-0.08203866069787581,0.22317952057269075
18,1,0,0.9676328709439536,-0.15360579743545877,0.22715673150760596
19,4,2,1.046216197262663,-0.10641487710947393,0.23351220357731295
20,2,2,1.0893806163949722,-0.1391613797766067,0.21863060922367827
21,1,1,1.4731633761860645,-0.02879716485671003,0.22487072048468315
22,3,2,1.3378089148354633,-0.20860002493713115,0.23872290864266743
23,3,1,1.6249349373290793,-0.012288436217767078,0.1123072162276153
24,3,2,1.7393654139145933,0.11522901356203932,0.10933433404399295
25,4,2,1.3584307855909743,0.19012083097657625,0.11551877552160894
26,3,0,1.6320531362291746,0.10798963035013155,0.11111581185676567
27,4,3,1.409934647621385,0.25298758753099587,0.10251548119249332
28,3,1,1.7411992253245367,0.09241139734909827,0.11058749115579003
29,5,1,1.3056401257574033,0.15976126841513194,0.11031185180131997
30,3,1,1.3865103281420448,0.2118107269605347,0.12311384899184086
31,2,0,1.1181093371544677,0.22925021932267506,0.11806586274867881
32,2,1,1.4034217492967114,0.40690887022756966,0.278109400285913
33,1,0,1.4653441367682236,0.37609732934029116,0.27564496500220326
34,4,2,1.4682575458591276,0.24493743349072708,0.28114811422369446
35,5,1,1.5550321060997383,0.37648985875513263,0.27872846442174426
36,2,1,1.708195682063426,0.3261476195525131,0.27219816246621553
37,3,2,1.506202123717915,0.329847143929431,0.2760298599903961
38,3,2,1.440048867387724,0.3686264090681606,0.2765318359079303
39,1,1,1.6435009348734215,0.43349292116790084,0.2815268929270003
40,3,1,1.6339269582361442,0.26524313159227514,0.2681458085053383
41,2,2,1.4644799737212666,0.5849474066988334,0.3598501732767132
42,3,2,1.894817373229234,0.5628811696830369,0.3493864149142647
43,2,1,1.8553750614229818,0.5570366612797168,0.3577526038068384
44,2,0,1.6686744474912354,0.5635230963315321,0.355870179893111
45,0,0,1.8395884317924036,0.5374835491125576,0.3647965803718929
46,5,1,1.5711553307522177,0.7266464355112445,0.26418024103962745
47,4,2,1.5187368654003577,0.7037685325520631,0.2633793392754886
48,4,1,1.7566069684418322,0.6753750929222608,0.2633487592374344
49,3,2,1.5289039130475677,0.7438238818332747,0.26435910050652645
50,5,1,1.5053249556901183,0.6993797311893415,0.2605331163082072
51,5,2,1.6795951856992368,0.6699450845222792,0.27112251136889975
52,4,2,1.6261697836805902,0.7663149904135205,0.26461093376249467
53,2,0,1.6855281668151767,0.7086515421967197,0.2622150295336616
54,2,2,1.9965916891482398,0.752020018943941,0.22313678033819473
55,5,1,1.8577409629454618,0.8447581194965554,0.21994650489791212
56,4,2,2.0286173858539556,0.7111279874239527,0.22448333414843313
57,7,2,1.8492542712139588,0.7682079594408004,0.22493261697621536
58,3,0,1.8287421371733392,0.8227038085245071,0.22287784436252567
59,4,1,2.030320049632887,0.7865250502508974,0.22214175683643989
60,1,0,1.847869005832976,1.116275625494672,0.47847525937247415
61,1,0,1.700277693838243,1.1319059052903508,0.4750856698678265
62,1,1,1.6440863267764012,1.112190543090044,0.38609412928561326
63,1,0,1.8968918852173022,1.098781560120682,0.38701972223049896
64,1,0,2.015758143460822,1.355550371816995,0.295105126668167
65,4,0,2.2026417585945715,1.2679452220853742,0.2924372300064544
66,2,0,2.3231413038054027,1.540359925610531,0.34431670089384214
67,5,2,2.515409418859824,1.699392924462889,0.2372386730519449
68,7,1,2.693722991199631,1.766752881439169,0.3399645974346721
69,7,1,2.451505147706219,1.7038359367988027,0.3334145824444792
70,1,1,1.0411504951517077,-0.1589732689021104,0.2968277594920199
71,1,1,-0.042357453339797964,-0.05261921259569836,0.399165470490245
72,3,2,0.35277853111274365,-0.2134485826300865,0.3954355603747173
