,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith,energy,mass
0,3,1,2.0597963500903034,1.0114853075736354,0.3497049288730678,7.0159354008124755,16.0
1,6,1,2.1717637218507173,1.0883972198452083,0.34307815388646956,7.0159354008124755,16.0
2,1,1,2.2559512854488104,1.0316330870681147,0.34765326527390483,7.0159354008124755,16.0
3,6,2,2.155225135951978,1.0591371525993143,0.3477007443255853,7.0159354008124755,16.0
4,1,0,2.027982254522076,1.0866935074124884,0.34674761548337774,7.0159354008124755,16.0
5,3,1,2.2119783919327807,1.104872378417884,0.4585663040362675,7.14152684207353,16.0
6,6,0,2.401651947389312,1.2928137635893417,0.32911143982865587,7.251683764237673,16.0
7,3,0,2.1422792041192262,1.3361059114203266,0.3323200253903025,7.251683764237673,16.0
8,2,1,2.4543005772353306,1.4594518269340133,0.3172946536870116,7.3846058517216155,16.0
9,5,1,2.5070790593576993,1.4263337340362243,0.3158924565519441,7.3846058517216155,16.0
10,4,2,2.5049473194544074,1.4352833379712182,0.3091685053092661,7.3846058517216155,16.0
11,6,1,2.4148043781975153,1.4439392595054574,0.31740679554028794,7.3846058517216155,16.0
12,7,3,2.530566916995062,1.5806036694036347,0.026065142968999755,7.507793366557414,16.0
13,3,1,2.390630848933106,1.5995532553799423,0.02499946893669769,7.507793366557414,16.0
14,8,3,2.4388917292683874,1.6826788279557183,0.022517567984560394,7.507793366557414,16.0
15,6,0,2.514745899320839,1.6078988688290377,0.029796131406460535,7.507793366557414,16.0
16,4,2,2.428769410751283,1.6528159152182056,0.024770193923068895,7.507793366557414,16.0
17,1,1,3.0941222803086124,1.7740488546589726,0.35630016683633814,7.695167610074785,16.0
18,5,2,2.9744410400347236,1.7762041250396088,0.35153744645160634,7.695167610074785,16.0
19,6,2,2.893889166228487,1.8010120417784252,0.3498417004616683,7.695167610074785,16.0
20,3,2,2.954087487857853,1.8740186292833112,0.26716655268181366,7.753220244684994,16.0
21,6,4,2.7806073586720585,1.8651327532664315,0.26953695594759797,7.753220244684994,16.0
22,6,2,2.877249283497759,1.8471451701122232,0.26969659811815516,7.753220244684994,16.0
23,8,2,2.833101997759937,1.8556274239653403,0.2712615156778653,7.753220244684994,16.0
24,5,2,2.8413533926312753,1.868254490586014,0.264851987777039,7.753220244684994,16.0
25,3,2,3.2348098735408533,2.024325026931641,0.3010794123587792,7.895290889549481,16.0
26,8,1,2.5864599637177537,2.018911452803537,0.2987429275817792,7.895290889549481,16.0
27,6,4,3.0205912921730995,2.012430345179011,0.2555146360055027,7.927278566277459,16.0
28,7,2,3.161715089253396,2.046291958328612,0.2563295850607967,7.927278566277459,16.0
29,4,0,3.041003115488742,2.040180324470458,0.27053131594005686,7.927278566277459,16.0
30,7,0,2.9441644260538378,2.0766771629720946,0.26975331322457796,7.927278566277459,16.0
31,7,1,3.0725268380102677,2.015891012009953,0.26827767362476385,7.927278566277459,16.0
32,5,3,1.3862270513260018,-0.20860462031710233,0.1564676204225619,5.909392971064568,16.0
33,4,1,1.7252269644753506,-0.19315527477812336,0.1532728746800318,5.909392971064568,16.0
34,0,0,1.2161462067410165,-0.18968715871940886,0.15138681780284902,5.909392971064568,16.0
35,6,2,0.9826915883274183,-0.3052853243039828,0.15529699117311946,5.909392971064568,16.0
36,3,3,1.3991655387727706,-0.1336107437024698,0.1560581027390282,5.909392971064568,16.0
37,4,2,1.627424870232993,-0.22769331238368415,0.1523125833430461,5.909392971064568,16.0
38,2,1,1.5508286495870827,-0.17861483825549485,0.1520958125573113,5.909392971064568,16.0
39,3,0,1.4710473752185622,-0.0383445131085942,0.15438702111610914,5.909392971064568,16.0
40,3,1,1.7695314859667164,-0.18051938228707606,0.1589833423807825,5.909392971064568,16.0
41,5,1,1.8631997587693454,-0.3015223697800842,0.1626742655366784,5.909392971064568,16.0
42,1,1,1.140635222052011,-0.21626750046186413,0.3778254487723012,6.068479143466597,16.0
43,1,1,1.3857977809079323,-0.05301458085727172,0.38856512580538416,6.068479143466597,16.0
44,1,0,1.5908569627079365,0.2614767388465222,0.49405798123417854,6.23673487215494,16.0
45,2,0,1.733599992064752,0.20294884005179,0.3948130282722415,6.329516251700004,16.0
46,1,0,1.199398897869528,0.28894699703882365,0.39116983844340547,6.329516251700004,16.0
47,3,0,1.854863780929375,0.20510675447665608,0.39750021088630394,6.329516251700004,16.0
48,0,0,1.4840608662792054,0.12496040139470964,0.39542752335285014,6.329516251700004,16.0
49,2,1,1.8836672625615747,0.25245945972415956,0.3940924224441371,6.329516251700004,16.0
50,4,2,1.9287092775313217,0.35528679560099846,0.3351512392896838,6.429917571052899,16.0
51,3,0,1.7929085046503084,0.3299849516840183,0.33368131434510406,6.429917571052899,16.0
52,7,2,1.6264942486009015,0.3231447185652354,0.3351463836282109,6.429917571052899,16.0
53,3,1,2.040302575645342,0.39338973729923854,0.32102048727346055,6.429917571052899,16.0
54,1,0,1.691800845451107,0.37557635233599296,0.3271587354330143,6.429917571052899,16.0
55,4,0,1.5695025287048503,0.3464290470130069,0.3211246927684521,6.429917571052899,16.0
56,2,0,1.8289637158981233,0.3496295064485415,0.3281659388614342,6.429917571052899,16.0
57,5,0,1.963881143971501,0.4149241677732896,0.3399696742935414,6.429917571052899,16.0
58,5,3,1.6745501813312516,0.29973762665671355,0.32800010352312015,6.429917571052899,16.0
59,5,3,1.6279907447313855,0.33181158382474907,0.3223144997442886,6.429917571052899,16.0
60,2,1,1.873870823213434,0.4368446250422644,0.3267675825821432,6.429917571052899,16.0
61,3,0,2.6353676228944707,1.022255564960492,0.4304298000004394,7.1220453063512235,16.0
62,3,1,2.6425503512400286,1.2679837925079314,0.444909660461553,7.223067171837537,16.0
63,8,1,2.4403567250977876,1.5717879843277647,0.26267267533767047,7.491653189708083,16.0
64,6,2,2.4454657648721025,1.636648278028309,0.25973285046841044,7.491653189708083,16.0
65,8,2,2.5297402647898277,1.5657283839345153,0.2585011379249167,7.491653189708083,16.0
66,6,0,2.7200261930926626,1.655966412557519,0.04098935271440274,7.5735378606433095,16.0
67,7,3,2.888088981574058,1.6549338407147856,0.04822114173951686,7.5735378606433095,16.0
68,7,2,2.725113167205503,1.6780586340053354,0.04557095953925483,7.5735378606433095,16.0
69,7,3,2.701212620642376,1.6696356604959508,0.04876473884999122,7.5735378606433095,16.0
70,6,1,2.6747157993404422,1.718393097559395,0.041841279958228395,7.5735378606433095,16.0
71,6,0,2.645002184552728,1.7571228332503814,0.04659668172267306,7.5735378606433095,16.0
72,6,2,2.6533372281170258,1.649747087725303,0.04891791641357646,7.5735378606433095,16.0
73,6,2,2.7655310691130417,1.8129741673554323,0.09929548507485109,7.6279326096657165,16.0
74,8,2,2.7375040159022146,1.768315205948526,0.10642321869136184,7.6279326096657165,16.0
75,8,1,2.7311161703801767,1.7413207285998658,0.10286875230713255,7.6279326096657165,16.0
76,9,0,2.798641769730869,1.7343966213768205,0.10324177711947868,7.6279326096657165,16.0
77,3,2,2.895156901841955,1.7485759369924843,0.10017915303813707,7.6279326096657165,16.0
78,9,2,2.8387848696968825,1.7204721967920609,0.1080576885068596,7.6279326096657165,16.0
79,10,0,2.68088665666596,1.7378009360848141,0.1007328910657268,7.6279326096657165,16.0
80,4,3,3.174974608769925,2.062723053756951,0.41757730550022165,7.957175746964013,16.0
81,2,1,1.0650632818888788,-0.15300056277029928,0.23411475378452984,5.767728330465438,16.0
82,3,1,1.107867610919598,-0.35645905887604945,0.2454949934751154,5.767728330465438,16.0
83,3,0,0.8558240111034061,-0.14451500717223675,0.24272628321832013,5.767728330465438,16.0
84,1,1,0.3422346682016316,-0.5023327931685246,0.22055650088701473,5.767728330465438,16.0
85,3,2,0.8784664016849069,-0.24805669617880796,0.23236348412171992,5.767728330465438,16.0
86,2,1,1.4011953778931578,-0.14872562591411762,0.3495868931924946,5.951687054381586,16.0
87,3,1,1.509721180738489,-0.08667819850228264,0.3805851877271267,5.951687054381586,16.0
88,4,1,1.9082554700984453,-0.20983529746300975,0.35605940223449295,5.951687054381586,16.0
89,1,1,1.839286281169508,-0.2721026243594791,0.33176556677289426,5.951687054381586,16.0
90,4,2,1.558195787902654,-0.28354735869305925,0.4480525866635485,6.092964603694539,16.0
91,2,1,1.6156167908190278,-0.020442275899183574,0.45366105398062073,6.1108430169436305,16.0
92,6,1,1.6750568625925977,0.27420488288509487,0.23335703957635623,6.3496852522106915,16.0
93,2,1,1.9957699218120524,0.3532590751655045,0.22294183274631152,6.3496852522106915,16.0
94,6,2,1.9474825620127385,0.2266462411761481,0.2320901853854087,6.3496852522106915,16.0
95,5,1,1.6877237235880354,0.2582020886935914,0.22016941190884243,6.3496852522106915,16.0
96,2,2,1.861215710520647,0.33741853827967905,0.22613642461625627,6.3496852522106915,16.0
97,3,0,1.891222663121621,0.3422554564332452,0.21605157507100037,6.3496852522106915,16.0
98,4,1,1.6805669847245628,0.2527235417062723,0.22933489677478613,6.3496852522106915,16.0
99,0,0,1.7915972108542408,0.456278933434791,0.23124036385762547,6.3496852522106915,16.0
100,2,1,1.7779935944991132,0.26491756503708164,0.22812072034201725,6.3496852522106915,16.0
101,3,1,2.036679452243676,0.28163836497257533,0.2210127291708841,6.3496852522106915,16.0
102,5,3,1.6034170186320342,0.39444560556140607,0.2257397880662726,6.3496852522106915,16.0
103,5,3,2.1293686327429744,0.6573795302822627,0.3929495635599971,6.743757727815157,16.0
104,3,1,2.3498063465903187,0.7386283644673437,0.39537603822098566,6.743757727815157,16.0
105,1,0,1.8798038272105668,0.7431187091076081,0.39557139275630515,6.743757727815157,16.0
106,7,0,2.1371613589282767,0.7358053090989625,0.39141029169049624,6.743757727815157,16.0
107,1,1,2.3424386909621644,0.7113577113701193,0.4005918247428326,6.743757727815157,16.0
108,1,0,2.5164850700474894,0.846707422452905,0.49525550572096577,6.941602207588454,16.0
109,3,0,2.2970007071031846,0.9031599587864569,0.4900727599165253,6.941602207588454,16.0
110,1,0,2.1371618503267977,0.894955217933775,0.4924939919137019,6.941602207588454,16.0
111,2,0,2.2102508444027493,1.453919792361428,0.3803130044801928,7.3880947333066604,16.0
112,4,0,2.544633586024285,1.451683136761491,0.37952339702913074,7.3880947333066604,16.0
113,5,1,2.3302717039321266,1.4739519927602132,0.380780092483628,7.3880947333066604,16.0
114,4,1,2.4305687106429543,1.5131612593442076,0.3832294895478414,7.3880947333066604,16.0
115,1,1,2.889857581247453,1.4980416415341624,0.38944755034921075,7.3880947333066604,16.0
116,4,0,2.45125173258068,1.5751879794055847,0.4475061295922278,7.532094259385618,16.0
117,2,0,2.417962448793702,1.5844265432629783,0.45374884143696415,7.532094259385618,16.0
118,3,0,2.673915615134731,1.725405675401463,0.4213880216273034,7.641438175611009,16.0
119,3,1,2.74541144664128,1.7023300540311297,0.42346331707648854,7.641438175611009,16.0
